label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,description
APAC-DC-ONPREM-SRV-B-R06-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R06-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-A to APAC-DC-ONPREM-SRV-B-R06-PDU-A Power-In
APAC-DC-ONPREM-SRV-B-R06-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R06-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-B to APAC-DC-ONPREM-SRV-B-R06-PDU-B Power-In
APAC-DC-ONPREM-STG-R01-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-STG-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Storage-Room-FEED-A to APAC-DC-ONPREM-STG-R01-PDU-A Power-In
APAC-DC-ONPREM-STG-R01-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-STG-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Storage-Room-FEED-B to APAC-DC-ONPREM-STG-R01-PDU-B Power-In
APAC-DC-ONPREM-STG-R02-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-STG-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Storage-Room-FEED-A to APAC-DC-ONPREM-STG-R02-PDU-A Power-In
APAC-DC-ONPREM-STG-R02-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-STG-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Storage-Room-FEED-B to APAC-DC-ONPREM-STG-R02-PDU-B Power-In
APAC-DC-ONPREM-STG-R03-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-STG-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Storage-Room-FEED-A to APAC-DC-ONPREM-STG-R03-PDU-A Power-In
APAC-DC-ONPREM-STG-R03-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-STG-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Storage-Room-FEED-B to APAC-DC-ONPREM-STG-R03-PDU-B Power-In
APAC-DC-ONPREM-MMR-R01-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Meet-Me-Room-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-MMR-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Meet-Me-Room-FEED-A to APAC-DC-ONPREM-MMR-R01-PDU-A Power-In
APAC-DC-ONPREM-MMR-R01-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Meet-Me-Room-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-MMR-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Meet-Me-Room-FEED-B to APAC-DC-ONPREM-MMR-R01-PDU-B Power-In
APAC-DC-ONPREM-MMR-R02-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Meet-Me-Room-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-MMR-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Meet-Me-Room-FEED-A to APAC-DC-ONPREM-MMR-R02-PDU-A Power-In
APAC-DC-ONPREM-MMR-R02-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Meet-Me-Room-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-MMR-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Meet-Me-Room-FEED-B to APAC-DC-ONPREM-MMR-R02-PDU-B Power-In
AMER-DC-ONPREM-NET-R01-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-NET-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-A to AMER-DC-ONPREM-NET-R01-PDU-A Power-In
AMER-DC-ONPREM-NET-R01-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-NET-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-B to AMER-DC-ONPREM-NET-R01-PDU-B Power-In
AMER-DC-ONPREM-NET-R02-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-NET-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-A to AMER-DC-ONPREM-NET-R02-PDU-A Power-In
AMER-DC-ONPREM-NET-R02-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-NET-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-B to AMER-DC-ONPREM-NET-R02-PDU-B Power-In
AMER-DC-ONPREM-NET-R03-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-NET-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-A to AMER-DC-ONPREM-NET-R03-PDU-A Power-In
AMER-DC-ONPREM-NET-R03-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-NET-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-B to AMER-DC-ONPREM-NET-R03-PDU-B Power-In
AMER-DC-ONPREM-NET-R04-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-NET-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-A to AMER-DC-ONPREM-NET-R04-PDU-A Power-In
AMER-DC-ONPREM-NET-R04-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-NET-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Network-Core-FEED-B to AMER-DC-ONPREM-NET-R04-PDU-B Power-In
AMER-DC-ONPREM-SRV-A-R01-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-A to AMER-DC-ONPREM-SRV-A-R01-PDU-A Power-In
AMER-DC-ONPREM-SRV-A-R01-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-B to AMER-DC-ONPREM-SRV-A-R01-PDU-B Power-In
AMER-DC-ONPREM-SRV-A-R02-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-A to AMER-DC-ONPREM-SRV-A-R02-PDU-A Power-In
AMER-DC-ONPREM-SRV-A-R02-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-B to AMER-DC-ONPREM-SRV-A-R02-PDU-B Power-In
AMER-DC-ONPREM-SRV-A-R03-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-A to AMER-DC-ONPREM-SRV-A-R03-PDU-A Power-In
AMER-DC-ONPREM-SRV-A-R03-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-B to AMER-DC-ONPREM-SRV-A-R03-PDU-B Power-In
AMER-DC-ONPREM-SRV-A-R04-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-A to AMER-DC-ONPREM-SRV-A-R04-PDU-A Power-In
AMER-DC-ONPREM-SRV-A-R04-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-B to AMER-DC-ONPREM-SRV-A-R04-PDU-B Power-In
AMER-DC-ONPREM-SRV-A-R05-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R05-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-A to AMER-DC-ONPREM-SRV-A-R05-PDU-A Power-In
AMER-DC-ONPREM-SRV-A-R05-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R05-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-B to AMER-DC-ONPREM-SRV-A-R05-PDU-B Power-In
AMER-DC-ONPREM-SRV-A-R06-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R06-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-A to AMER-DC-ONPREM-SRV-A-R06-PDU-A Power-In
AMER-DC-ONPREM-SRV-A-R06-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-A-R06-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-A-FEED-B to AMER-DC-ONPREM-SRV-A-R06-PDU-B Power-In
AMER-DC-ONPREM-SRV-B-R01-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-A to AMER-DC-ONPREM-SRV-B-R01-PDU-A Power-In
AMER-DC-ONPREM-SRV-B-R01-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-B to AMER-DC-ONPREM-SRV-B-R01-PDU-B Power-In
AMER-DC-ONPREM-SRV-B-R02-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-A to AMER-DC-ONPREM-SRV-B-R02-PDU-A Power-In
AMER-DC-ONPREM-SRV-B-R02-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-B to AMER-DC-ONPREM-SRV-B-R02-PDU-B Power-In
AMER-DC-ONPREM-SRV-B-R03-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-A to AMER-DC-ONPREM-SRV-B-R03-PDU-A Power-In
AMER-DC-ONPREM-SRV-B-R03-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-B to AMER-DC-ONPREM-SRV-B-R03-PDU-B Power-In
AMER-DC-ONPREM-SRV-B-R04-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-A to AMER-DC-ONPREM-SRV-B-R04-PDU-A Power-In
AMER-DC-ONPREM-SRV-B-R04-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-B to AMER-DC-ONPREM-SRV-B-R04-PDU-B Power-In
AMER-DC-ONPREM-SRV-B-R05-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R05-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-A to AMER-DC-ONPREM-SRV-B-R05-PDU-A Power-In
AMER-DC-ONPREM-SRV-B-R05-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R05-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-B to AMER-DC-ONPREM-SRV-B-R05-PDU-B Power-In
AMER-DC-ONPREM-SRV-B-R06-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R06-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-A to AMER-DC-ONPREM-SRV-B-R06-PDU-A Power-In
AMER-DC-ONPREM-SRV-B-R06-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-SRV-B-R06-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Server-Hall-B-FEED-B to AMER-DC-ONPREM-SRV-B-R06-PDU-B Power-In
AMER-DC-ONPREM-STG-R01-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-STG-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Storage-Room-FEED-A to AMER-DC-ONPREM-STG-R01-PDU-A Power-In
AMER-DC-ONPREM-STG-R01-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-STG-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Storage-Room-FEED-B to AMER-DC-ONPREM-STG-R01-PDU-B Power-In
AMER-DC-ONPREM-STG-R02-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-STG-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Storage-Room-FEED-A to AMER-DC-ONPREM-STG-R02-PDU-A Power-In
AMER-DC-ONPREM-STG-R02-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-STG-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Storage-Room-FEED-B to AMER-DC-ONPREM-STG-R02-PDU-B Power-In
AMER-DC-ONPREM-STG-R03-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-STG-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Storage-Room-FEED-A to AMER-DC-ONPREM-STG-R03-PDU-A Power-In
AMER-DC-ONPREM-STG-R03-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-STG-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Storage-Room-FEED-B to AMER-DC-ONPREM-STG-R03-PDU-B Power-In
AMER-DC-ONPREM-MMR-R01-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Meet-Me-Room-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-MMR-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Meet-Me-Room-FEED-A to AMER-DC-ONPREM-MMR-R01-PDU-A Power-In
AMER-DC-ONPREM-MMR-R01-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Meet-Me-Room-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-MMR-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Meet-Me-Room-FEED-B to AMER-DC-ONPREM-MMR-R01-PDU-B Power-In
AMER-DC-ONPREM-MMR-R02-PDU-A-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Meet-Me-Room-FEED-A,dcim.powerfeed,,AMER-DC-ONPREM-MMR-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Meet-Me-Room-FEED-A to AMER-DC-ONPREM-MMR-R02-PDU-A Power-In
AMER-DC-ONPREM-MMR-R02-PDU-B-POWER-FEED-CABLE,power,connected,AMER-DC-ONPREM-Meet-Me-Room-FEED-B,dcim.powerfeed,,AMER-DC-ONPREM-MMR-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from AMER-DC-ONPREM-Meet-Me-Room-FEED-B to AMER-DC-ONPREM-MMR-R02-PDU-B Power-In
